cert,asset_16
10077,36612
10080,101760
10101,207374
10111,247809
10114,118117
10118,177209
10120,35994
10121,150056
10122,159088
10123,52337
10125,120683
10127,170301
10132,111226
10137,173353
10145,27822
10146,983700
10157,233617
10159,233328
10160,72589
10162,68817
10163,129140
10165,216345
10167,199650
10168,290910
10169,101579
10171,121432
10174,65874
10175,132632
10176,79747
10178,64077
10179,97136
10184,120187
10185,43150
10187,43415
10191,132668
10192,295736
10194,116715
10196,68459
10197,30775
10198,84603
10200,27675
10201,67490
10202,46333
10208,48645
10212,176423
10214,526875
10218,217172
10236,119561
10243,74609
10248,2262003
10249,338987
10250,113993
10253,68886
10255,494998
10266,189198
10280,108485
10306,43726
10307,919807
10308,467573
10315,75711
10317,205740
10318,326245
10319,102396
10327,65061
10330,70581
10334,6221
10344,319048
10345,103350
10352,38049
10359,3132258
10363,1444712
10374,95366
10375,142528
10378,262618
10380,198568
10382,144103
10383,340482
10384,176301
10407,100773
10434,212742
10437,47498
10438,164163
10439,82577
10446,62812
10458,87183
10460,194254
10463,33186
10464,81759
10467,166573
10469,40792
10471,19264
10473,114015
10474,249422
10489,24201
10492,83596
10494,115496
10497,119008
10500,135047
10502,95449
10503,68027
10505,130171
10508,64298
10514,48049
10520,135250
10523,345649
10528,120884
10531,160705
10532,189943
10533,158106
10534,324724
10559,48263
10561,125772
10567,30769
10568,75625
10571,102412
10576,101591
10582,23804
10588,114283
10594,134762
10595,171234
10597,33850
10608,243883
10611,20238
10618,444180
10619,1280492
10621,235399
10623,88972
10626,31894
10628,107423
10634,4372911
10635,12037
10637,98776
10639,146028
10641,43748
10643,233729
10644,28378
10647,42956
10653,47891
10663,399525
10667,930320
10672,95089
10674,118868
10677,504228
10678,393650
10685,404500
10688,263308
10693,289923
10704,42409
10709,187204
10716,31385
10719,273541
10730,139855
10734,136726
10741,64636
10781,660704
10788,116847
10791,196550
10799,106119
10802,61679
10803,21785
10804,105935
10809,41209
10816,64659
10820,51583
10821,78283
10825,181866
10828,224242
10829,170002
10831,245980
10840,21802
10843,33892
10844,208065
10845,134959
10849,203973
10853,194642
10855,85456
10858,81402
10860,113092
10871,71385
10872,20190
10874,17324
10878,38507
10879,169490
10883,57076
10885,17796
10886,303996
10887,489505
10896,20833
10903,242849
10906,71461
10907,279288
10916,106146
10918,230075
10919,92283
10920,181289
10925,60400
10928,124301
10956,328148
10957,94408
10958,560540
10960,71066
10962,221648
10965,105727
10967,119176
10969,37997
10971,65524
10973,588309
10976,206888
10980,96529
10982,32065
10984,123579
10987,70526
10988,1906182
10989,143196
10991,73103
10993,62210
10998,176380
11000,644692
11002,133681
11003,73768
11013,131052
11023,46452
11035,3877330
11063,32814750
11106,1527245
11112,1068004
11113,459757
11116,480698
11124,6920615
11133,47930
11151,1358684
11159,341819
11175,27732
11178,152973
11181,98700
11200,483134
11225,101996
11228,315246
11232,117813
11235,57420
11236,639682
11241,9793959
11242,118985
11243,129938
11252,159293
11256,77939
11259,84214
11261,37315
11286,460301
11295,180557
11299,205830
11300,19392
11301,452173
11302,27986
11306,519603
11307,244770
11310,255647
11311,27102
11317,89372
11319,47939
11324,67387
11329,43819
11343,50196
11347,314361
11348,139674
11349,149674
11351,28692
11352,61773
11355,92543
11358,190469
11406,703318
11407,309562
11409,103558
11411,54685
11415,133680
11417,28070
11423,212874
11431,248872
11432,72324
11438,532196
11444,692703
11445,108530
11446,95432
11448,275619
11457,119234
11459,396419
11462,119572
11463,124545
11465,55968
11466,96995
11475,57227
11477,170535
11482,252974
11483,16241
11491,356769
11492,315108
11501,448676
11506,717626
11507,1828990
11519,184223
11521,136031
11522,454283
11526,278739
11527,52673
11539,319866
11557,255101
11559,475735
11561,2191252
11569,713836
11570,25299
11578,2962007
11580,562446
11582,157324
11584,1397911
11595,395878
11601,179985
11603,177419
11608,203284
11623,170842
11634,104267
11666,1322280
11667,123968
11669,172993
11670,616717
11671,141630
11674,131172
11680,127655
11681,16465
11682,76519
11686,87273
11694,326324
11699,113119
11702,220742
11706,65907
11708,217378
11711,229923
11715,69683
11716,18307
11719,90779
11722,381669
11726,100583
11729,652287
11731,28675
11732,156590
11734,181659
11739,432933
11741,194436
11746,104707
11747,203980
11750,106628
11759,93191
11761,31112
11763,454462
11764,79600
11767,258728
11771,528337
11772,278685
11777,333020
11778,181923
11782,180914
11785,186860
11788,125570
11792,157792
11807,614359
11810,195042
11813,14723604
11817,60705
11821,88853
11823,155818
11860,498642
11862,131951
11866,3404754
11868,794650
11886,466551
11891,39886
11902,133811
11903,136808
11904,136450
11905,128514
11907,138456
11916,71201
11922,148501
11932,113142
11934,33167
11935,613463
11939,109020
11952,342939
11953,250718
11971,1754525
12010,9500278
12013,1770349
12017,506550
12054,6414401
12079,133967
12082,665016
12086,21250
12087,183869
12091,52018
12098,23375
12104,115239
12107,51743
12113,361242
12121,44275
12126,125490
12128,104321
12135,71824
12136,92630
12139,36308
12149,179206
12162,133346
12163,229984
12165,414485
12166,216678
12181,1356363
12186,204075
12193,96056
12195,129380
12201,224575
12203,564326
12204,1024898
12206,229794
12207,115159
12208,245473
12214,166740
12219,362957
12220,82879
12223,351524
12225,35098
12226,57518
12229,6183870
12230,199386
12231,106418
12232,114454
12236,124225
12241,347761
12244,130560
12246,44714
12248,280899
12249,49653
12258,339060
12259,290082
12266,256153
12283,96737
12284,17567
12285,212604
12293,22278
12298,76889
12299,740424
12303,149401
12305,113019
12308,69230
12309,109206
12315,146312
12322,345561
12325,83355
12327,285676
12331,256500
12349,112588
12354,55377
12355,75364
12365,211708
12368,125042021
12372,73202
12373,210642
12383,1443000
12384,143747
12386,216083
12388,100500
12391,36364
12395,97192
12396,343749
12402,99406
12406,1252805
12408,22136
12410,135079
12417,60258
12422,59237
12425,10606
12426,138511
12432,29646
12437,8680571
12438,70380
12441,23887875
12444,57748
12457,70404
12484,480656
12485,155633
12493,228968
12501,889311
12504,114531
12506,718392
12511,161800
12512,79864
12513,106741
12514,314386
12515,200106
12517,1096290
12518,100203
12531,175748
12549,67151
12585,26960
12591,514412
12592,321180
12594,383790
12602,177797
12608,249875
12609,242528
12610,580430
12611,573257
12614,4055768
12616,336517
12617,139110
12627,601332
12633,2684312
12661,89104
12694,107243
12699,308724
12706,153517
12716,123406
12717,88916
12722,55555
12745,23933
12757,54305
12758,44007
12761,409577
12769,1216919
12773,1629808
12781,271618
12788,423497
12814,736211
12815,588525
12828,506542
12836,142499
12839,1612900
12854,3483848
12855,850565
12857,160837
12858,379440
12859,53058
12865,57790
12869,175168
12874,753621
12885,254652
12893,55202
12899,91083
12921,112412
12923,11496234
12936,516296
12944,901349
12956,141974
12959,220227
12969,631716
12978,468164
12980,66644
12982,1375455
12985,249391
13000,185621
13006,216457
13012,2377540
13017,122162
13018,53642
13020,228031
13022,79104
13023,1065715
13025,281622
13029,50083
13030,77771
13032,186338
13033,178986
13046,199119
13054,53782
13055,708761
13058,185540
13063,1091147
13068,315151
13071,506652
13080,135475
13083,358673
13102,4276959
13104,83272
13107,500923
13109,495854
13111,152210
13112,200643
13113,173980
13130,349453
13150,1087325
13157,212480
13167,115775
13179,263423
13195,135779
13196,64253
13198,821061
13206,62053
13209,172630
13216,341635
13220,482169
13232,413506
13240,444451
13242,166510
13249,120874
13251,58652
13255,666147
13264,309019
13274,137713
13290,298085
