cert,docket,rssdhcr,fed_rssd,hctmult,name,city,stalp,zip,repdte,bkclass,nimy,roa,ntlnlsr,rbc1aaj,rbcrwaj
58186,0,4672795,3383599,0,Pinnacle Bank,Scottsdale,AZ,85260,12/31/2016,NM,3.85945908169683,1.1564658582409,0.46695792022436,11.8389795496798,17.2423893712731
58188,0,1857108,3357620,1,"HSBC Trust Company (Delaware), National Association",Wilmington,DE,19801,12/31/2016,N,0.692097092427464,0.736133700971843,,98.4384153485647,34916.2337662338
58189,0,0,3438060,0,Providence Bank,Alpharetta,GA,30004,12/31/2016,NM,3.97930865825261,0.158387832867685,-2.73833612931864E-02,7.4738657696376,10.0263822621386
58191,0,4912697,3409462,0,Community 1st Bank,Auburn,CA,95603,12/31/2016,NM,3.20594774126868,0.477174672387303,-8.29039828178732E-03,9.24971830868938,14.7852845416237
58194,0,3577419,3577389,0,Homebanc National Association,Lake Mary,FL,32746,12/31/2016,N,2.67682711234716,0.68941049113859,2.80286125182328E-02,8.84835996711986,14.9577016282143
58196,0,0,3388165,0,Noah Bank,Elkins Park,PA,19027,12/31/2016,NM,4.08268029436257,-0.394766199318893,0.781517634358269,11.4412523909451,18.7157307004598
58199,0,3917855,3425725,0,Beartooth Bank,Billings,MT,59106,12/31/2016,NM,4.57858184000686,1.08830553413942,2.05768575023222E-02,15.3653995710885,18.113188034851
58201,0,4547286,3350658,0,First Vision Bank of Tennessee,Tullahoma,TN,37388,12/31/2016,SM,4.29424488748579,1.01508581848251,2.17670337571585E-02,12.0124242697296,17.2866845903495
58203,0,0,3472859,0,NewBank,Flushing,NY,11354,12/31/2016,NM,3.4937674880702,2.15719277313789,0.436862998462849,13.4111427640064,19.4098175241197
58206,0,0,3424483,0,Trinity Bank,Dothan,AL,36302,12/31/2016,NM,4.19038118490256,1.04278643314639,1.80774017255356E-02,9.29403171056589,14.0128014787576
58208,0,3807899,3437148,0,First Freedom Bank,Lebanon,TN,37087,12/31/2016,NM,3.94603836578618,0.747755324617551,9.79766815497912E-02,9.50733599468358,11.728952642293
58210,0,3378764,3378773,0,Bridgewater Bank,Bloomington,MN,55431,12/31/2016,NM,4.00876694980429,1.26117827208695,0.108656820048832,9.2416123952929,12.6344825085878
